0,1,2,3
Beaverton Police Department,OR,101-500,This organization did not respond to a request for comment.
Clackamas County Sheriff’s Office,OR,11-50,"“We do not have or use Clearview AI technology.” — Sgt. Marcus Mendoza, spokesperson"
Deschutes County,OR,11-50,This organization did not respond to a request for comment.
Eagle Point Police Department,OR,11-50,This organization did not respond to a request for comment.
Eugene Police Department,OR,101-500,"“We had the City’s Information Services Department search the system. We found one civilian employee had done a demo and a trial period to see if it was a viable investigative tool. He did this in February 2020 using our own staff, who were made aware and provided permission, as the test subjects, and found it to be very inaccurate, so passed on any further research. It was never connected to our Records Management System, nor did it get utilized on any of the city’s residents or visitors.” —Melinda McLaughlin, public information officer"
Jackson County Sheriff’s Office,OR,1-5,This organization did not respond to a request for comment.
Linn County Sheriff’s Office,OR,11-50,This organization did not respond to a request for comment.
Medford Police Department,OR,501-1000,This organization did not respond to a request for comment.
Newberg-Dundee Police Department,OR,11-50,"“On a free trial basis, one officer had a limited account.” — Capt. Cameron Ferguson"
Oregon Department of Motor Vehicles,OR,6-10,"“I have checked with our records services group and they have not participated in any demos for this product nor have they heard of demos being offered for Clearview AI.” —Lauren Mulligan, spokesperson"
Portland Police Bureau,OR,101-500,"“I’ve asked around and everyone who would be testing such technology on our behalf say they did not conduct such searches... We have a city policy against using such technology.” —Derek Carmon, public information officer"
Salem Police Department,OR,11-50,This organization did not respond to a request for comment.
Tigard Police Department,OR,101-500,"“A very small number of investigators used to have access to it. In the limited circumstances in which it was used, it was one of many tools used to point investigators in an initial direction, but was never used on its own to lead to an arrest or even to positively identify anyone as a suspect; everything had to be vetted and found in other ways. Since then, our Police Chief sent out a directive banning the use not only of Clearview, but of any facial recognition software by anyone within the department, so nothing like that is currently being used.” —Kelsey Anderson, public information officer"
Washington County,OR,11-50,"“To the best of my knowledge, we have not used Clearview for facial recognition. As you know, we suspended our facial recognition program earlier this year.” —Danny DiPietro, communications sergeant"
Woodburn Police Department,OR,6-10,"“One Detective tried the free trial. WPD did not contract for the service. No other officers are using the service. No identifications of suspects, arrests or prosecutions occurred as a result of the use of the free trial.” —Martin Pilcher, deputy police chief"
Adams Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Allegheny County District Attorney’s Office,PA,11-50,"“We do not employ any sort of facial recognition software in any of the cameras that are included in our network. We have never utilized Clearview AI in any investigation in our office.” —Mike Manko, spokesperson"
Allentown Police Department,PA,6-10,This organization did not respond to a request for comment.
Bensalem Township Police Department,PA,101-500,This organization did not respond to a request for comment.
Berks County Detectives,PA,11-50,This organization did not respond to a request for comment.
Berwick Police Department,PA,11-50,This organization did not respond to a request for comment.
Bethel Park Police Department,PA,11-50,"“One officer used this service as a 30 day free trial period. No arrests were made by using this service. The trial period expired and we are not interested in subscribing to this service. The officer who was testing it did not find it valuable.” —Timothy O’Connor, police chief"
Blakely Police Department,PA,11-50,This organization did not respond to a request for comment.
Bucks County Detectives,PA,11-50,This organization did not respond to a request for comment.
Caernarvon Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Caln Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Central Montco Technical High School,PA,1-5,This organization did not respond to a request for comment.
Chambersburg Borough Police Department,PA,6-10,This organization did not respond to a request for comment.
Cheltenham Township Police Department,PA,11-50,This organization did not respond to a request for comment.
City of Erie Police Department,PA,11-50,This organization did not respond to a request for comment.
Conway Police Department,PA,1-5,This organization did not respond to a request for comment.
Delaware County Criminal Investigation Division,PA,6-10,This organization did not respond to a request for comment.
Delaware Valley Intelligence Center,PA,1001-5000,This organization did not respond to a request for comment.
East Cocalico Township Police Department,PA,51-100,"“One of my investigators was made aware of Clearview AI. He downloaded a free trial and it was used by our Sgt. within the station to test the service on willing officers. The technology worked as it recognized several of them. My Sgt. showed me the technology and told me the cost. The discussion died after I learned of the cost. We did not have, nor will we have the money to purchase such a service... Our taxpayer money is better spent on other items.” —Darrick Keppley, police chief"
East Pennsboro Township Police Department,PA,11-50,This organization did not respond to a request for comment.
East Whiteland Township Police Department,PA,6-10,This organization did not respond to a request for comment.
Franklin County Drug Task Force,PA,101-500,This organization did not respond to a request for comment.
Frazer Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Greencastle Police Department,PA,1-5,This organization did not respond to a request for comment.
Lackawanna County Prison,PA,6-10,This organization did not respond to a request for comment.
Lake City Police Department,PA,6-10,This organization did not respond to a request for comment.
Limerick Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Lock Haven City Police Department,PA,11-50,This organization did not respond to a request for comment.
Lower Allen Township Police Department,PA,11-50,"“One of our detectives logged on for the trial to see what it was all about, but we’ve not used it for anything and the trial has since expired.” —Lt. Leon Crone"
Lower Makefield Township Police Department,PA,11-50,This organization did not respond to a request for comment.
Marple Township Police Department,PA,51-100,This organization did not respond to a request for comment.
McKeesport Police Department,PA,11-50,This organization did not respond to a request for comment.
Mechanicsburg Police Department,PA,51-100,This organization did not respond to a request for comment.
Middlesex Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Middletown Township Police Department,PA,6-10,This organization did not respond to a request for comment.
Milton Borough Police Department,PA,6-10,This organization did not respond to a request for comment.
Monroe County District Attorney’s Office,PA,11-50,"“After surveying our ADAs in the Office, we did not have anyone who replied stating they use Clearview AI. This does not mean the 80 ADAs in our office have not used it in two years, but nobody replied stating they have.” —spokesperson"
Monroeville Police Department,PA,6-10,This organization did not respond to a request for comment.
Montgomery County,PA,101-500,"“We do not use this product.” —Thomas M. Sullivan, director of public safety (now retired)"
Montgomery Township Police Department,PA,101-500,This organization did not respond to a request for comment.
Mt. Lebanon Police Department,PA,51-100,This organization did not respond to a request for comment.
New Castle Police Department,PA,11-50,This organization did not respond to a request for comment.
Ohio Township Police Department,PA,1-5,This organization did not respond to a request for comment.
Palmyra Borough Police Department,PA,1-5,"“My department does not use this software. It was looked at by my detective in 2019, but we never used it and did not purchase it due to cost.” —Andrew J. Winters, police chief"
Penbrook Police Department,PA,6-10,This organization did not respond to a request for comment.
Pennsylvania Bureau of State Parks,PA,1-5,"“I have no clue what Clearview AI, a facial recognition tool, is.” —Terry Brady, press secretary"
Pennsylvania State Police,PA,501-1000,"“We are aware that Clearview AI reached out to some personnel and provided them an opportunity to use a demo or trial of their facial recognition software. Upon discovery, PSP notified personnel to cease use of the software.” —Ryan Tarkowski, communications director"
Philadelphia Police Department,PA,1001-5000,"“The Philadelphia Police Department piloted Clearview AI in the past two years. Clearview AI is one of several software programs used during investigations.The Philadelphia Police Department is aware of a select number of individuals within the PPD who still have access to Clearview AI. In terms of Clearview AI or other facial recognition software leading to direct arrests, we are unaware of any cases within our department in which the use of this type of technology has provided the sole basis for the apprehension of a suspect. Clearview AI, and other facial recognition software programs, are just one tool available to investigators. A thorough and complete investigation must still be conducted with ample evidence of criminal activity before formal charges are brought before the court and an arrest warrant is issued.” —Cpl. Jasmine Reilly, spokesperson"
Pittsburgh Bureau of Police,PA,101-500,This organization did not respond to a request for comment.
Pottsville Bureau of Police,PA,1-5,This organization did not respond to a request for comment.
Scranton Police Department,PA,51-100,This organization did not respond to a request for comment.
Springettsbury Township Police Department,PA,11-50,This organization did not respond to a request for comment.
Springfield Township Police Department,PA,11-50,This organization did not respond to a request for comment.
Upper Moreland Township Police Department,PA,11-50,This organization did not respond to a request for comment.
Uwchlan Township,PA,1-5,This organization did not respond to a request for comment.
West Manchester Township Police Department,PA,51-100,This organization did not respond to a request for comment.
West Shore Regional Police Department,PA,11-50,This organization did not respond to a request for comment.
West York Borough Police Department,PA,1-5,This organization did not respond to a request for comment.
Wilkes-Barre City Police Department,PA,11-50,This organization did not respond to a request for comment.
Wilkes-Barre Township Police Department,PA,51-100,"“We do not nor have we used this system. We utilize another system. There may have been a testing of the system but it has never been used in any investigation nor do we use it today.” —Joseph Coffay, police chief"
Wyomissing Police Department,PA,101-500,This organization did not respond to a request for comment.
York County District Attorney’s Office,PA,101-500,"“I am not aware of this agency using Clearview AI.” —Kyle G. King, chief administrator"
York Police Department,PA,6-10,This organization did not respond to a request for comment.
Barrington Police Department,RI,11-50,This organization did not respond to a request for comment.
Bristol Police Department,RI,101-500,“The Bristol Police Department used Clearview AI as a demo after being contacted by a sales representative from the company. At no time was the demo used as part of an active investigation with the Bristol Police Department nor did the use of the demo lead to an arrest. The Bristol Police Department did not continue use of the product after the conclusion of the demo period and there is no future intention on purchasing the product.” —Capt. Brian Burke
Burrillville Police Department,RI,101-500,This organization did not respond to a request for comment.
Central Falls Police Department,RI,11-50,This organization did not respond to a request for comment.
Coventry Police Department,RI,11-50,This organization did not respond to a request for comment.
Cranston Police Department,RI,51-100,This organization did not respond to a request for comment.
Cumberland Police Department,RI,11-50,This organization did not respond to a request for comment.
East Providence Police Department,RI,51-100,This organization did not respond to a request for comment.
Jamestown Police Department,RI,51-100,This organization did not respond to a request for comment.
Lincoln Police Department,RI,51-100,This organization did not respond to a request for comment.
Narragansett Police Department,RI,51-100,"“Some of my detectives used this product ... We are not using it anymore. We were given a free trial and discontinued use after the free trial period. It was not used for an active investigation so no arrests were associated with our use of this product.” —Sean Corrigan, police chief"
North Kingstown Police Department,RI,11-50,"“Four of us have used Clearview AI. We do use it periodically as the need arises. One of us has some success while working for a state wide task force and unfortunately the rest have not. However, we understand the program only gets better with more searches/data and we will continue to try this tool in our tool belt.” —Lt. Jeffrey St. Onge"
North Providence Police Department,RI,101-500,This organization did not respond to a request for comment.
North Smithfield Police Department,RI,11-50,This organization did not respond to a request for comment.
Pawtucket Police Department,RI,101-500,This organization did not respond to a request for comment.
Portsmouth Police Department,RI,11-50,This organization did not respond to a request for comment.
Providence Police Department,RI,101-500,This organization did not respond to a request for comment.
Rhode Island Department of Corrections,RI,1001-5000,"“I was informed that RIDOC does not use any kind of facial recognition tool at this time.” —J.R. Ventura, public relations officer"
Rhode Island State Police,RI,101-500,This organization did not respond to a request for comment.
Richmond Police Department,RI,6-10,This organization did not respond to a request for comment.
Smithfield Police Department,RI,1001-5000,This organization did not respond to a request for comment.
Warwick Police Department,RI,501-1000,This organization did not respond to a request for comment.
Woonsocket Police Department,RI,101-500,This organization did not respond to a request for comment.
Anderson City Police Department,SC,11-50,This organization did not respond to a request for comment.
Barnwell Police Department,SC,6-10,This organization did not respond to a request for comment.
Beaufort Police Department,SC,101-500,This organization did not respond to a request for comment.
Berkeley County Sheriff’s Office,SC,11-50,This organization did not respond to a request for comment.
Charleston County Sheriff’s Office,SC,501-1000,This organization did not respond to a request for comment.
City of Charleston,SC,11-50,This organization did not respond to a request for comment.
Columbia Police Department,SC,11-50,This organization did not respond to a request for comment.
Dorchester County Sheriff’s Office,SC,1-5,This organization did not respond to a request for comment.
Folly Beach Department of Public Safety,SC,11-50,"“I checked with our IT Director. He stated that he thought it was something our detectives could use and he ’did a free trial to show them.’” —Andrew Gilreath, police chief"
Fountain Inn Police Department,SC,51-100,This organization did not respond to a request for comment.
Georgetown County Sheriff’s Office,SC,11-50,"“I have learned of one deputy who received a solicitation to try the software as a free trial. He checked it out with non-case sensitive material and cancelled when it came time to pay a fee.” —Jason Lesley, public information officer"
Greenville County Sheriff’s Office,SC,101-500,"“Law enforcement, including some members of the Greenville County Sheriff’s Office, has utilized facial recognition software applications through third-party vendors to provide potential investigative leads concerning the identities of suspects involved in crimes. Facial recognition software allows law enforcement officers to identify possible criminal suspects in narcotics surveillances, prostitution, gang memberships, human trafficking, and many other criminal offenses.” —Ryan Flood, public information officer"
Greenville Police Department,SC,101-500,This organization did not respond to a request for comment.
Hampton County Sheriff’s Office,SC,11-50,This organization did not respond to a request for comment.
Hardeeville Police Department,SC,6-10,This organization did not respond to a request for comment.
Laurens County Sheriff’s Office,SC,1-5,This organization did not respond to a request for comment.
Lexington Police Department,SC,51-100,This organization did not respond to a request for comment.
Mount Pleasant Police Department,SC,101-500,"“The Mount Pleasant Police Department has been using Clearview AI on a trial license and are not sure at this time if we are going to pay for a license and use of the program. We have used the program as part of our Internet Crimes Against Children Task Force to attempt to identify victims and/or suspects as well as try and identify suspects in shoplifting cases through department bulletins or surveillance video. The program has not led directly to the arrest during our trial period.” —Donald Calabrese, public information officer"
Myrtle Beach Police Department,SC,101-500,This organization did not respond to a request for comment.
North Charleston Police Department,SC,101-500,This organization did not respond to a request for comment.
Richland County Sheriff’s Department,SC,6-10,"“Three agency staffers used Clearview AI as part of a trial access RCSD received to the software ... None of the searches performed by RCSD led to the identification of a person that lead to an arrest based on Clearview AI during our trial period with the company.” —Cynthia Roldán, spokesperson"
Rock Hill Police Department,SC,101-500,"“We only had a trial version that we tested and were getting familiar with functionality of the software ... There was not a usage to identify suspects for cases but to check the workings of the program so we cannot say we had misidentifications.” —Lt. Michael Chavis, public information officer"
South Carolina Attorney General’s Office,SC,51-100,"“A senior member of our staff was given a sample version to look at last year but, since we’re not primarily an investigative agency, we have no need for it and did not purchase it or use it for any cases ... He put his own picture in it to see what came up and then put in a friend’s picture, with the friend’s permission, just to see how the system works ... It did pull up some other photos of our staff member who put in his own photo to test it, and it also pulled up pictures of the other person he tested it on.” —Robert Kittle, spokesperson"
"South Carolina Department of Probation, Parole, and Pardon Services",SC,6-10,This organization did not respond to a request for comment.
South Carolina Highway Patrol,SC,11-50,This organization did not respond to a request for comment.
South Carolina Law Enforcement Division,SC,11-50,This organization did not respond to a request for comment.
Spartanburg Police Department,SC,1001-5000,This organization did not respond to a request for comment.
Summerville Police Department,SC,11-50,This organization did not respond to a request for comment.
Union Public Safety Department,SC,11-50,This organization did not respond to a request for comment.
Walterboro Police Department,SC,11-50,This organization did not respond to a request for comment.
York County Sheriff’s Office,SC,101-500,This organization did not respond to a request for comment.
Lyman County Sheriff’s Office,SD,11-50,“We do not use facial recognition.” —department spokesperson
Rapid City Police Department,SD,11-50,"“Clearview was offered to our agency on a trial basis several years ago. We used it to an incredibly limited degree over a very brief period of time. We are not still using it, nor did we make any arrests through its use.” —Brendyn Medina, spokesperson"
Sioux Falls Police Department,SD,1-5,"“I have been informed that the SFPD has not used Clearview AI.” —Keith Allenstein Jr., assistant city attorney"
State of South Dakota,SD,101-500,"“I’ve checked with our Highway Patrol and Drivers License offices, and they do not use Clearview.” —Ian Fury, communications director"
Name,State,Search Count,Response
10th Judicial Drug and Violent Crimes Task Force,TN,6-10,This organization did not respond to a request for comment.
Bartlett Police Department,TN,101-500,This organization did not respond to a request for comment.
Berry Hill Police Department,TN,6-10,This organization did not respond to a request for comment.
Blount County Sheriff’s Office,TN,1-5,"“We do not use nor do we have access to this facial recognition tool.” —Marian O’Briant, spokesperson"
Bradley County Sheriff’s Office,TN,101-500,This organization did not respond to a request for comment.
Brentwood Police Department,TN,101-500,"“Upon further review, it appears that one of our Detectives did use a trial version of this software beginning in November 2019/early 2020. He was the only user. He is no longer using it and no arrests were made as a result of this technology.” —Jeff Hughes, police chief"
Bristol Police Department,TN,101-500,This organization did not respond to a request for comment.
Chattanooga Police Department,TN,101-500,"“We do not use Clearview AI.” —Elisa Myzal, communications coordinator"
Cleveland Police Department,TN,11-50,This organization did not respond to a request for comment.
"District Attorney General, Tennessee 6th Judicial District",TN,11-50,"“We are the prosecutor’s office in Knox County, Tennessee. Any questions about investigations and arrests would need to be directed to local law enforcement agencies.” —Sean McDermott, assistant district attorney general"
East Ridge Police Department,TN,101-500,This organization did not respond to a request for comment.
Franklin Police Department,TN,51-100,"“We participated in a trial of the product but did not subscribe and are no longer using it. The platform provided some viable leads that were able to be corroborated by detectives. Because those cases are still pending criminal action, we are not disclosing additional information about them.” — Lt. Charles Warner"
Germantown Police Department,TN,11-50,This organization did not respond to a request for comment.
Giles County Sheriff’s Department,TN,11-50,"“As far as I can tell there were two deputies that used the app. Neither of them used it during investigations. Both deputies tell me that they compared known photos of friends and family etc. to the app, and found the results less than reliable. Both deputies also told me that they read about problems with the app and quit using it shortly after they installed it.” —Capt. Joseph Purvis"
Goodlettsville Police Department,TN,11-50,This organization did not respond to a request for comment.
Hendersonville Police Department,TN,11-50,"“We evaluated the product on a trial basis. We are not using the service currently. We did not utilize the product to make arrests. We simply used some realistic cases and known images to evaluate the product. The overall impression is that it would be a valuable tool, dependent on the quality of images submitted. We did not track usage for statistics.” —Cmdr. Scott Ryan"
Humphreys County Sheriff’s Office,TN,6-10,This organization did not respond to a request for comment.
Jackson Police Department,TN,51-100,This organization did not respond to a request for comment.
Johnson City Police Department,TN,101-500,This organization did not respond to a request for comment.
Knox County Sheriff’s Office,TN,101-500,This organization did not respond to a request for comment.
Lebanon Police Department,TN,11-50,This organization did not respond to a request for comment.
Marion County Sheriff’s Office,TN,11-50,"“We do not currently use or have ever used Clearview AI.” —Paul Bloom, public information director"
Memphis Police Department,TN,101-500,This organization did not respond to a request for comment.
Metro Nashville Police Department,TN,501-1000,This organization did not respond to a request for comment.
Millington Police Department,TN,6-10,“Investigators with the Millington Police Department utilized the demonstration version of Clearview AI. We did not purchase the software after the demonstration expired. No arrests were made utilizing the software.” —Lt. Chris Stokes
Murfreesboro Police Department,TN,11-50,This organization did not respond to a request for comment.
New Johnsonville Police Department,TN,6-10,This organization did not respond to a request for comment.
Oak Ridge National Lab,TN,51-100,This organization did not respond to a request for comment.
Oliver Springs Police Department,TN,1-5,This organization did not respond to a request for comment.
Pleasant View Police Department,TN,11-50,This organization did not respond to a request for comment.
Rutherford County Sheriff’s Office,TN,51-100,This organization did not respond to a request for comment.
Sevier County Sheriff’s Office,TN,6-10,This organization did not respond to a request for comment.
Shelby County District Attorney’s Office,TN,11-50,This organization did not respond to a request for comment.
Shelby County Sheriff’s Office,TN,1001-5000,"“This agency does not use Clearview AI. It is believed that representatives tried it during a test of the product but it was not purchased nor is it used.” —Debra Fessenden, chief policy adviser"
Smyrna Police Department,TN,11-50,"“After additional research, it was determined that personnel utilized this software on a free trial basis. Photos entered were of known individuals, including themselves and family members. The software did not yield accurate results and they ceased using it prior to the end of the 30 day trial period.” —Kathy Ferrell, public information officer"
Spring Hill Police Department,TN,11-50,This organization did not respond to a request for comment.
State of Tennessee,TN,101-500,This organization did not respond to a request for comment.
Sumner County Sheriff’s Office,TN,1-5,This organization did not respond to a request for comment.
Tennessee Alcoholic Beverage Commission,TN,101-500,"“The TABC has not authorized the use of Clearview AI for its staff. TABC leadership has no knowledge of any staff using Clearview AI.” —Aaron Rummage, director of legislation, policy and communication"
Tennessee Highway Patrol,TN,11-50,This organization did not respond to a request for comment.
Washington County Sheriff’s Office,TN,51-100,“We don’t use it.” —spokesperson
Abilene Police Department,TX,6-10,This organization did not respond to a request for comment.
Allen Police Department,TX,11-50,This organization did not respond to a request for comment.
Amarillo Police Department,TX,101-500,This organization did not respond to a request for comment.
Arlington Police Department,TX,11-50,“We have searched our records and have been unable to locate any records maintained by the City responsive to your request for records.” —spokesperson
Austin Police Department,TX,11-50,“Our Police Technology Unit is not familiar with this company and has not worked with them.” —department spokesperson
Baytown Police Department,TX,51-100,This organization did not respond to a request for comment.
Bee Cave Police Department,TX,51-100,"“I know of a couple officers here that tried Clearview during a trial period, one of which was me. Once the trial period ended, I don’t know of anyone who continued to use the application ... I tried the application mostly with incidents involving unknown suspects on video, but not surprisingly, the app doesn’t work well when taking a picture of a computer screen. To my knowledge, this app has not ever led to an arrest or identification of a suspect with this agency.” —Ryan Halley, detective sergeant"
Bellaire Police Department,TX,11-50,"“We did some research here and it appears that our detectives received trial access to the Clearview AI service. At least one of our detectives used the offer to review the Clearview AI’s capabilities; however, I was told that nothing useful was gained from the experience. The trial offers elapsed and we currently are not paying for any access, services, or user fees connected to Clearview AI.” —Onesimo Lopez, assistant police chief"
Belton Police Department,TX,51-100,"“In 2019, a detective used the software, under the 30-day trial period, to try and identify suspects in a criminal case. None of the searches by Belton PD led to an arrest, and we do not currently use the software.” —Paul Romer, public information officer"
Bexar County Sheriff’s Office,TX,101-500,"“After checking with several sections of the Sheriff’s Office, we confirmed we do not have Clearview AI Facial Recognition.” —Adelina Simpson, spokesperson"
Brazoria County Sheriff’s Office,TX,101-500,This organization did not respond to a request for comment.
Brookshire Police Department,TX,51-100,This organization did not respond to a request for comment.
Carrollton Police Department,TX,51-100,"“We were given a trial period for it in late 2019 and tried it a couple of times. It didn’t seem to work well for us so we did not move forward with them.” —Jolene DeVito, police information manager"
Celina Police Department,TX,101-500,This organization did not respond to a request for comment.
City of Dallas Security Division,TX,11-50,“There were no records in existence for your requested information.” —spokesperson
City of Huntsville,TX,11-50,This organization did not respond to a request for comment.
City of Irving,TX,501-1000,This organization did not respond to a request for comment.
College Station Police Department,TX,11-50,"“Clearview AI was used on a very limited, trial basis. The tool was mostly used to gauge its effectiveness in helping to identify unknown suspects. The tool did not perform nearly as well, or in the manner, as had been expected.” —Tristen Lopez, public information officer"
Colleyville Police Department,TX,11-50,This organization did not respond to a request for comment.
Collin County Sheriff’s Office,TX,101-500,This organization did not respond to a request for comment.
Cooke County Sheriff’s Office,TX,51-100,This organization did not respond to a request for comment.
Coryell County District Attorney,TX,11-50,This organization did not respond to a request for comment.
Crandall Police Department,TX,11-50,"“I hate to say it, but our agency budget can’t afford any type of resource like facial recognition. We don’t have any information on this.” —Dean Winters, police chief"
Crowley Police Department,TX,1-5,This organization did not respond to a request for comment.
Dallas Police Department,TX,501-1000,"“The Dallas Police Department does not have a contract with Clearview Al, nor has the app been approved for use by any member of the department. Officers found using this app were instructed to remove the app from their city issued devices. Officers we found using the app on their personal devices were instructed not to use the app as part of their job functions.” —Melinda Gutierrez, spokesperson"
Dallas/Fort Worth Airport Police Department,TX,101-500,This organization did not respond to a request for comment.
Deer Park Police Department,TX,51-100,"“It was used on a demo basis. The Deer Park Police Department has not arrested anyone using a search from Clearview AI.” —Kathy Cobb, records supervisor"
Denison Police Department,TX,11-50,This organization did not respond to a request for comment.
Denton Police Department,TX,11-50,"“Our department did demo the program last year, but I’ve confirmed with our investigators that no leads were developed during our agency’s demo of this program.” —Allison Beckwith, spokesperson"
El Paso Police Department,TX,1-5,This organization did not respond to a request for comment.
Elgin Police Department,TX,11-50,This organization did not respond to a request for comment.
Forney Police Department,TX,11-50,"“We have not used this ... I asked all of my detectives, and they told me they have not used it. “ —Mica Lunt, police chief"
Fort Bend County,TX,51-100,This organization did not respond to a request for comment.
Fort Bend County District Attorney’s Office,TX,51-100,"“One of our employees attended a conference where this software was demonstrated and each attendee got a demo account to work with for a limited time. We have only experimented with the demo account and have not even purchased the software.” —Wesley Wittig, spokesperson"
Fort Worth Fusion Center,TX,51-100,This organization did not respond to a request for comment.
Fort Worth Police Department,TX,501-1000,"“Clearview was only used temporarily by FWPD on a trial basis. We do not use Clearview. By policy, facial recognition cannot be used as the basis for an arrest. It is simply an investigative tool. The crime center does not conduct investigations or issue warrants, so they do not know if their limited use of Clearview culminated in any arrests.” —Capt. Charles Harn"
Garland Police Department,TX,1-5,"“I know we do not have a subscription or agreement with this company, and to my knowledge, we have never used it.” —Felicia Jones, spokesperson"
Grand Prairie Police Department,TX,51-100,"“Grand Prairie PD, like most agencies, was sent a free trial or demo of the program. Our staff took a look at the program and determined is was not suitable for our needs. We declined any further info on the program after that. We did not use it for any investigations and made no arrests.” —Mark Beseda, public information officer"
Gregg County,TX,11-50,"“We do not use facial recognition.”- Chuck Willeford, Chief Deputy"
Harris County Precinct 4 Constable’s Office,TX,51-100,“This was a trial run through Police One. Our office does not have record[s] for this.” —spokesperson
Harris County Precinct 5 Constable’s Office,TX,11-50,“I spoke with our investigators and they do not use the program.” —Sgt. Roy L. Guinn
Hidalgo County Sheriff’s Office,TX,51-100,This organization did not respond to a request for comment.
Highland Park Police Department,TX,101-500,"“Investigators with HPDPS did attend a demonstration of the Clearview AI product, and we have chosen not to move forward.” —Lt. Lance Koppa"
Hood County Constable’s Office,TX,1-5,This organization did not respond to a request for comment.
Houston Police Department,TX,501-1000,"“The Houston Police Department does not utilize facial recognition technology offered by Clearview AI or any other company. HPD will likely study facial recognition technology in the future, but has no plans to implement its use at this time.” —spokesperson"
Humble Police Department,TX,51-100,This organization did not respond to a request for comment.
Jacksonville Police Department,TX,1-5,This organization did not respond to a request for comment.
Katy Independent School District Police Department,TX,11-50,“Our agency does not utilize facial recognition software.” —spokesperson
Keller Police Department,TX,11-50,This organization did not respond to a request for comment.
Kendall County,TX,11-50,This organization did not respond to a request for comment.
Kilgore Police Department,TX,11-50,"“We have not utilized Clearview AI.” —Jacki Hargrove, police office manager"
Kyle Police Department,TX,6-10,"“I have no knowledge of this program being accessed by this department. I am also unaware of others that you allude may have accessed this program.” —Maria Requejo, records compliance coordinator"
Lake Worth Police Department,TX,101-500,This organization did not respond to a request for comment.
Lakeway Police Department,TX,1-5,"“Lakeway Police Department does not nor ever has had the Clearview Al – facial recognition tool.” —Nicole Sooter, executive assistant"
Leander Police Department,TX,11-50,This organization did not respond to a request for comment.
Lewisville Police Department,TX,11-50,This organization did not respond to a request for comment.
Livingston Police Department,TX,11-50,"“This agency does not use Clearview AI.” —Matt Parrish, police chief"
Longview Police Department,TX,51-100,This organization did not respond to a request for comment.
Lower Colorado River Authority Police Department,TX,11-50,"“LCRA Public Safety used the Clearview AI system for a brief time as part of a free trial. No arrests were made as a result of using the system, and LCRA is not using the system now.” —Clara Tuma, public information officer"
Lufkin Police Department,TX,11-50,This organization did not respond to a request for comment.
Mansfield Police Department,TX,101-500,"“It appears that 2 people from MPD did a trial with the company ... We are not currently using Clearview AI.” —Zhivonni Cook, spokesperson"
Matagorda County,TX,11-50,This organization did not respond to a request for comment.
Midland Police Department,TX,101-500,This organization did not respond to a request for comment.
Missouri City Police Department,TX,11-50,This organization did not respond to a request for comment.
Montgomery County,TX,501-1000,"“I feel I have a fairly comprehensive knowledge of the systems/tools we have available to us. I have never heard of the software you are referring to, and have no knowledge of our agency using any form of facial recognition software.” —Steve Squier, specialist"
North Richland Hills Police Department,TX,11-50,This organization did not respond to a request for comment.
Northlake Police Department,TX,51-100,This organization did not respond to a request for comment.
Odessa Police Department,TX,11-50,This organization did not respond to a request for comment.
Pearland Police Department,TX,101-500,This organization did not respond to a request for comment.
Pflugerville Police Department,TX,1-5,This organization did not respond to a request for comment.
Plano Police Department,TX,101-500,"“Although a handful of our criminal investigators did previously participate in temporary trials of the Clearview AI solution at no cost, we never executed an agreement with the company for paid services and it is not believed that any arrests were made as a direct result of searches performed using this tool.” —Lt. Glenn Cavin"
Prairie View Police Department,TX,11-50,This organization did not respond to a request for comment.
Prosper Police Department,TX,1-5,This organization did not respond to a request for comment.
Refugio County Sheriff’s Office,TX,51-100,This organization did not respond to a request for comment.
Richmond Police Department,TX,1-5,This organization did not respond to a request for comment.
Roanoke Police Department,TX,11-50,This organization did not respond to a request for comment.
Rosenberg Police Department,TX,11-50,This organization did not respond to a request for comment.
Round Rock Police Department,TX,11-50,This organization did not respond to a request for comment.
San Antonio Police Department,TX,11-50,"“SAPD does not use facial recognition software.” —Romana Lopez, public information officer"
San Marcos Police Department,TX,11-50,This organization did not respond to a request for comment.
Sinton Police Department,TX,1-5,This organization did not respond to a request for comment.
Smith County Sheriff’s Office,TX,11-50,This organization did not respond to a request for comment.
Somerville Police Department,TX,51-100,"“To date, none of the officers who worked here during that time line you outlined work for our agency currently. Therefore, I have no way to verify who may or may not have used the system.” —Jake Sullivan, police chief"
Sugar Land Police Department,TX,11-50,This organization did not respond to a request for comment.
Tarrant County Sheriff’s Office,TX,11-50,"“Without more information, I am not able to provide much detail about the use of Clearview AI software. There have not been any arrests made by our department related to the use of the program.” —Jennifer Gabbert, public information officer"
Terrell Police Department,TX,6-10,This organization did not respond to a request for comment.
Texarkana Texas Police Department,TX,101-500,"“One patrol officer downloaded and accepted a free trial of Clearview AI in early 2020. He used it for a couple of months and, at some point, approached the department about subscribing to the service. However, our administration declined to do that over concerns about its reliability and privacy issues.” —Shawn Vaughn, public information officer"
